"rank","name","price","marketCap","volume24h","rsi_15m","rsi_1h","rsi_4h","rsi_24h","rsi_7d"
"272","AI Rig Complex
ARC","$0.079","$79M","$43.76M","21.45%","46.5","62.8","79.8","66.4"
"175","AWE
AWE","$0.06445","$125.19M","$22.9M","8.42%","63.4","65.3","73.1","70.2"
"165","Open Campus
EDU","$0.1711","$142.28M","$17.8M","7.19%","42.7","55.0","68.7","61.0"
"238","The White Whale
WHITEWHALE","$0.1061","$106.16M","$9.71M","26.51%","55.1","68.6","68.5","61.1"
"257","RaveDAO
RAVE","$0.3718","$87.27M","$11.1M","9.45%","49.4","56.4","66.2","55.2"
"309","siren
SIREN","$0.09237","$67.33M","$12.36M","4.8%","43.2","51.8","62.8","58.5"
"340","ChainOpera AI
COAI","$0.3142","$59.07M","$21.71M","24.02%","70.7","68.4","62.5","41.0"
"287","Numeraire
NMR","$9.820156","$73.5M","$15.51M","6.37%","59.8","58.1","61.4","53.2"
"106","IOTA
IOTA","$0.07819","$334.6M","$21.53M","10.97%","79.9","66.5","58.6","42.2"
"310","MultiBank Group
MBG","$0.3514","$67.11M","$18.36M","2.76%","50.0","47.4","58.4","45.4"
"230","BitMart Token
BMX","$0.3865","$125.35M","$6M","1.26%","57.0","56.4","58.4","53.4"
"112","Humanity Protocol
H","$0.1266","$305.4M","$71.7M","18.34%","57.3","67.0","58.3","41.2"
"123","Kite
KITE","$0.1484","$267.29M","$41.26M","6.77%","55.3","55.1","57.2","70.1"
"252","Unibase
UB","$0.03559","$88.98M","$8.67M","3.43%","58.6","66.4","56.7","49.2"
"103","Decred
DCR","$19.9","$343.6M","$6.83M","5.15%","51.4","52.3","56.6","52.3"
"12","Hyperliquid
HYPE","$34.39","$8.95B","$806.89M","5.37%","56.5","55.4","56.5","67.1"
"83","Morpho
MORPHO","$1.283685","$486.28M","$42.82M","6.74%","50.5","50.2","56.4","55.8"
"313","World Mobile Token
WMTX","$0.08006","$66.21M","$1.42B","7.85%","35.6","48.8","56.3","57.6"
"43","MYX Finance
MYX","$5.973812","$1.5B","$29.86M","3.92%","61.0","54.6","55.3","56.2"
"38","MemeCore
M","$1.492908","$1.88B","$18.16M","1.73%","56.0","54.6","55.3","47.7"
"29","Toncoin
TON","$1.409118","$3.43B","$126.37M","5.03%","66.6","59.1","55.0","37.0"
"371","Spark
SPK","$0.02209","$52.07M","$24.4M","8.29%","64.1","55.4","54.9","49.1"
"138","Monad
MON","$0.01882","$203.88M","$104.7M","9.62%","72.3","65.6","54.5","44.5"
"298","Waves
WAVES","$0.5935","$71.25M","$29.02M","7.49%","53.3","51.7","54.5","40.0"
"158","Lombard
BARD","$0.7151","$160.9M","$18.06M","4.39%","52.9","51.4","54.4","44.7"
"316","Impossible Cloud Network
ICNT","$0.3923","$65.61M","$6.26M","5.16%","55.2","55.6","54.3","49.3"
"213","Ultima
ULTIMA","$5,652.01","$211.43M","$20.87M","1.76%","41.9","35.5","54.2","48.7"
"361","Cysic
CYS","$0.3308","$53.2M","$17.13M","2.38%","45.6","48.5","53.3","49.5"
"225","Zano
ZANO","$9.117351","$136.79M","$1.66M","0.21%","46.8","47.2","52.7","48.4"
"201","Rain
RAIN","$0.009466","$3.21B","$38.25M","7.63%","70.3","61.3","52.7","52.0"
"227","Keeta
KTA","$0.2835","$136.51M","$5.37M","10.88%","60.3","53.6","52.7","51.2"
"285","U.S. Dollar Tokenized Currency (Ondo)
USDon","$0.9984","$74.38M","$94.95M","0.08%","50.1","47.8","52.5","50.9"
"267","Moonbirds
BIRB","$0.284","$80.94M","$153.39M","6.21%","43.8","45.4","52.4","--"
"13","UNUS SED LEO
LEO","$8.817788","$8.12B","$3.59M","1.22%","51.7","52.7","52.1","47.6"
"343","ZIGChain
ZIG","$0.04137","$58.29M","$3.46M","6.11%","72.6","54.1","51.8","37.2"
"134","Golem
GLM","$0.2151","$215.19M","$12.33M","5.13%","57.0","52.0","51.7","42.1"
"63","Midnight
NIGHT","$0.04971","$825.64M","$19.44M","8.02%","63.6","56.5","51.6","39.5"
"100","Sun [New]
SUN","$0.01826","$350.82M","$27.05M","2.63%","51.2","45.9","51.3","42.7"
"349","HashKey Platform Token
HSK","$0.1643","$56.69M","$8.91M","0.64%","50.4","53.8","50.9","34.7"
"192","Zilliqa
ZIL","$0.005416","$107.83M","$155.46M","11.21%","34.3","41.2","50.7","56.5"
"314","InitVerse
INI","$0.1209","$66.1M","$1.34M","0.05%","52.9","48.3","49.7","51.0"
"35","PAX Gold
PAXG","$4,936.15","$2.24B","$855.57M","0.29%","38.8","40.2","49.7","53.4"
